"Twn Num","Twn Dir","Rng Num","Rng Dir","Sec","Quarter","Lib Num","API Num","Operator","Well Name","Field","Type","State","County","Photos","Thin Sec","Analysis","Latitude","Longitude","Source","Security Flag","Formation","Age","Min Depth","Max Depth"
"47","N","91","W","11","SESE","E632","4904320737","BASS ENTERPRISES","220 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.05344","-107.72767","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","7199","7221"
"47","N","91","W","12","NWNE","E633","4904320745","BASS ENTERPRISES","222 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.06508","-107.71154","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","6490","6538"
"47","N","90","W","7","SWSW","E635","4904320749","BASS ENTERPRISES","225 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.05364","-107.70537","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","6239","6292"
"47","N","91","W","12","SENE","E636","4904320750","BASS ENTERPRISES","226 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.06069","-107.70638","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","6126","6166"
"16","N","84","W","10","NESW","S219","4900705092","CONOCO INCORPORATED","1 UNIT","SARATOGA SOUTH","FULL","WY","CARBON","F","F","T","41.36668","-106.82757","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","CAMBRIAN","CAMB","1549","1596"
"16","N","84","W","10","NESW","S219","4900705092","CONOCO INCORPORATED","1 UNIT","SARATOGA SOUTH","FULL","WY","CARBON","F","F","T","41.36668","-106.82757","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","UNKNOWN","PREC","1607","1610"
"27","N","58","E","18",,"E638","2508521620","JN EXPLORATION","23X-18 JN HARMON",,"SLABBED","MT","ROOSEVELT","T","T","F","48.090848","-104.282082","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","NISKU","DEVO","10453","10513"
"47","N","90","W","18","NENW","E640","4904320765","BASS ENTERPRISES","229 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.0506","-107.70069","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","6135","6182"
"47","N","90","W","18","NWSE","E641","4904320767","BASS ENTERPRISES","231 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.04533","-107.69457","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","6144","6197"
"47","N","90","W","18","SESW","E643","4904320769","BASS ENTERPRISES","233 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.03867","-107.70013","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","DINWOODY","TRIA","6895","6895"
"47","N","90","W","18","SESW","E643","4904320769","BASS ENTERPRISES","233 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.03867","-107.70013","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","6896","6917"
"47","N","90","W","19","NWNE","E645","4904320773","BASS ENTERPRISES","235 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.03551","-107.69431","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","7268","7317"
"47","N","91","W","13","NENE","E646","4904320770","BASS ENTERPRISES","236 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.04971","-107.71064","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","6594","6645"
"47","N","90","W","18","NENE","E647","4904320762","BASS ENTERPRISES","237 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.05013","-107.6902","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","DINWOODY","TRIA","5753","5764"
"48","N","91","W","33","NWSW","E648","4904320752","BASS ENTERPRISES","238 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.08618","-107.78546","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","8692","8774"
"47","N","91","W","8","SWNE","E649","4904320753","BASS ENTERPRISES","239 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.06031","-107.79532","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","DINWOODY","TRIA","9706","9758"
"47","N","90","W","17","SENW","E650","4904320772","BASS ENTERPRISES","241 COTTOMWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.04542","-107.68044","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","5805","5853"
"158","N","95","W","6","SESW","R796","3310501076","DEPCO INCORPORATED","24-6 MCGINNTY","TEMPLE","SLABBED","ND","WILLIAMS","F","F","F","48.533662","-103.010037","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","WINNIPEGOSIS","DEVO","11082","11143"
"37","N","57","E","24","SWNENE","R805","2509121099","CHEVRON OIL","5 P. SOLBERG","FLAT LAKE","FULL","MT","SHERIDAN","F","F","F","48.951805","-104.137933","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","RATCLIFFE","MISS","6492","6495"
"37","N","57","E","24","SWNESE","R806","2509121109","CHEVRON OIL","1 PEDER SOLBERG UNIT","FLAT LAKE","FULL","MT","SHERIDAN","F","F","F","48.944327","-104.137938","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","RATCLIFFE","MISS","6496","6522"
"140","N","94","W","26","NESW","R810","3308900398","TRUE OIL","23-26 DOHRMAN","WILDCAT","SLABBED","ND","STARK","F","F","F","46.910303","-102.50919","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","INTERLAKE","SILU","10814","10852"
"140","N","94","W","26","NESW","R810","3308900398","TRUE OIL","23-26 DOHRMAN","WILDCAT","SLABBED","ND","STARK","F","F","F","46.910303","-102.50919","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","INTERLAKE","SILU","10903","10964"
"141","N","95","W","23","SENW","R872","3302500479","TRUE OIL","22-23 FISHER","SIMON BUTTE","SLABBED","ND","DUNN","F","F","F","47.020243","-102.685554","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","INTERLAKE","SILU","11424","11484"
"141","N","95","W","23","SENW","R872","3302500479","TRUE OIL","22-23 FISHER","SIMON BUTTE","SLABBED","ND","DUNN","F","F","F","47.020243","-102.685554","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","INTERLAKE","SILU","11498","11534"
"22","N","95","W","17","SENW","R901","4903723244","PRESIDIO EXPL INC","22-17 STRIKE UNIT","STRIKE","SLABBED","WY","SWEETWATER","F","T","T","41.88223","-108.1737","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","LEWIS","CRET","9960","9999"
"3","S","12","E","5","SWSE","S283","2506705000","MONTALBAN OILS","1 NPRR","MISSION CREEK","FULL","MT","PARK","F","F","F","45.59801","-110.267129","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","TENSLEEP","PENN","2638","2652"
"49","N","70","W","31","NWNW","S307","4900529408","LOUISANA LAND & EXPL","11-31 S. TIMBER CREEK","TIMBER CREEK SOUTH","FULL","WY","CAMPBELL","T","F","F","44.18771","-105.32402","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","MINNELUSA",,"9650","9708"
"36","N","53","E","28","SE","S668",,"USGS-CMR","4 COREHOLE-SWALES MOUNTAIN","SWALES MTN.","FULL","NV","ELKO","F","F","T","40.9791567495381","-116.01942139256","CENTER OF SECTION","NO SPECIAL RESTRICTIONS","UNKNOWN","DEVO","339","548"
"3","N","92","W","7",,"T152",,"USGS","D-1",,"FULL - DISCONTINUOUS SEGMENTS","CO","MOFFAT","F","F","F","40.2442","-107.7565",,"NO SPECIAL RESTRICTIONS",,,"200","262"
"15","N","56","W","30","SESW","S610","2610507110","ENBROOK O&G","1 GETTEL","LINN","FULL","NE","KIMBALL","T","F","F","41.236466","-103.790001","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","DAKOTA J","CRET","6561","6587"
"13","N","54","W","34","SWSESW","S996","2610505382","SUNBURST PET","2 HAACK","HAACK",,"NE","KIMBALL","F","F","F","41.049341","-103.502691","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","DAKOTA J","CRET","6089","6105"
"40","N","76","W","13","NWSENW","F040","4900922813","WASHINGTON ENERGY","22-13-X MAGNUM","MAGNUM","SLABBED","WY","CONVERSE","T","F","F","43.44112","-105.93117","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","LEWIS","CRET","13946","13987"
"26","N","97","W","13","S2N2SE","F042","4903723472","PRESIDIO EXPL INC","40-13 PICKET LAKE UNIT","PICKET LAKE","SLABBED","WY","SWEETWATER","T","T","T","42.22387","-108.34765","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","LEWIS","CRET","13513","13589"
"47","N","90","W","8","SWSE","E652","4904320785","BASS ENTERPRISES","244 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.05539","-107.67325","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","5195","5238"
